Label,FilmSimulation,Grain,CCFx/CCFxB,WhiteBalance,WBShiftR,WBShiftB,DynamicRange,HighlightTone,ShadowTone,Color,Sharpness,NoisReduction,ExposureBias
EM Acros,Acros,OFF,OFF,Auto,0,0,200,2,2,0,2,-2,0
JC Acros 2,Acros,OFF,OFF,Auto,1,0,200,2,2,0,2,-2,0
JP Acros,Acros,WEAK,OFF,Auto,0,0,AUTO,1,0,0,0,-4,0
MT Acros,Acros,OFF,OFF,Auto,0,0,100,-2,0,0,0,0,0
PE Winogrand,Acros,OFF,OFF,Auto,0,0,AUTO,-2,-2,0,-1,-3,0
RR Acros,Acros,OFF,OFF,Auto,0,0,200,2,2,0,2,-2,P1P00
RR Acros Agfa APX 400,Acros,WEAK,STRONG/OFF,Auto,1,0,400,-2,4,0,4,-4,P0P67
RR Acros Push Process,Acros,STRONG,OFF,Auto,0,0,200,4,3,0,1,-3,P1P00
RR Agfa Scala,Acros,WEAK,OFF,Auto,0,0,100,4,0,0,0,-3,0
RR Bleach Bypass 2/2,Acros,STRONG,STRONG/OFF,Auto,-1,3,200,3,4,2,1,-4,P0P33
RR Cyanotype,Acros,STRONG,OFF,Auto,-9,0,400,3,3,0,-4,-4,P0P33
RR Faded Color Vintage 2/2,Acros,WEAK,STRONG/OFF,Auto,-5,5,200,4,4,4,1,-4,M1P00
RR Faded Monochrome,Acros,STRONG,STRONG/OFF,Auto,0,0,100,4,4,0,2,-4,P0P33
RR Ilford HP-5+,Acros,STRONG,OFF,Auto,0,0,200,4,2,0,0,-3,0
RR Ilford HP-5+ Push Process,Acros,STRONG,STRONG/OFF,Auto,0,0,AUTO,3,4,0,-2,-4,P0P33
RR Split-Tones B&W 1/2,Acros,WEAK,STRONG/OFF,Auto,6,0,200,4,4,0,1,-4,P0P67
RR Tri-X Push Process,Acros,OFF,OFF,Auto,0,0,200,3,4,0,-1,-4,P0P33
VM Across,Acros,OFF,OFF,Auto,0,0,100,0,1,0,1,-4,0
VM Double A,Acros,OFF,OFF,Auto,0,0,200,-2,-1,0,-1,-4,0
BLP Ilford Delta 3200,AcrosG,STRONG,OFF,Auto,0,0,400,-2,4,0,-2,-4,M0M33
BT Goto BW,AcrosG,WEAK,OFF,Auto,0,0,AUTO,-2,2,0,2,-2,0
DC Acros,AcrosG,OFF,OFF,Auto,0,0,AUTO,-1,3,0,1,-4,0
KM Portrait,AcrosG,OFF,OFF,Auto,0,0,AUTO,-1,2,0,0,-1,0
SS Acros,AcrosG,WEAK,OFF,Auto,0,0,AUTO,-2,2,0,2,-2,0
BT Acros Street Photography,AcrosR,OFF,OFF,Auto,0,0,100,4,4,0,2,-1,0
BT Acros Travel,AcrosR,OFF,OFF,Auto,0,0,100,4,4,0,2,-4,0
GB BW Hard,AcrosR,WEAK,OFF,Auto,0,0,100,-1,2,0,2,-1,0
GB Oh Sh*t ,AcrosR,WEAK,OFF,Daylight,-2,1,200,-2,-1,0,1,-4,0
HH Fuji Acros,AcrosR,OFF,OFF,Auto,0,0,AUTO,0,3,0,1,-2,0
HH Fuji Acros Grain Like,AcrosR,OFF,OFF,Auto,0,0,AUTO,-1,3,0,1,-3,0
JC Acros 1R,AcrosR,OFF,OFF,Auto,1,0,AUTO,-1,3,0,1,-1,0
KM Day,AcrosR,OFF,OFF,Auto,0,0,AUTO,-1,2,0,1,-1,0
LC Tri-X,AcrosR,OFF,OFF,Auto,0,0,200,3,4,0,-1,-4,P0P33
PE Moriyama,AcrosR,OFF,OFF,Auto,0,0,100,4,4,0,-1,-3,0
PLR Acros,AcrosR,STRONG,OFF,Auto,0,0,AUTO,-1,3,0,0,0,0
RR Kodachrome Monochrome,AcrosR,STRONG,OFF,Auto,0,9,200,4,-2,0,1,-4,0
BLP Kodak Panatomic,AcrosY,OFF,OFF,Auto,0,0,100,3,3,0,2,-1,M0M33
KM Night,AcrosY,OFF,OFF,Auto,0,0,AUTO,0,1,0,0,-2,0
PE Acros Ellen Mark,AcrosY,OFF,OFF,Auto,0,0,AUTO,2,0,0,-1,-3,0
GB Portrait,Astia,OFF,OFF,Auto,0,0,100,2,2,0,1,0,0
JC Astia Travel,Astia,OFF,OFF,Auto,1,0,AUTO,-1,2,2,-1,-3,0
JP Flat Landscape,Astia,OFF,OFF,5300K,0,0,200,-1,0,-1,0,-2,0
JP Travel,Astia,WEAK,OFF,Auto,0,0,AUTO,-1,1,0,-2,-3,0
MT Astia,Astia,OFF,OFF,Auto,2,0,WEAK,0,0,-4,0,0,0
NZD Classic Chrome,Astia,WEAK,OFF,Auto,0,0,AUTO,1,-2,1,-1,-2,0
NZD Ektar 100,Astia,WEAK,OFF,Auto,0,0,AUTO,1,1,2,1,-2,0
PS Kodak Ektar 100,Astia,OFF,OFF,5900K,-1,3,AUTO,0,1,3,0,-4,0
RR Astia,Astia,WEAK,OFF,Auto,0,0,200,-1,-2,1,1,-3,P0P33
RR Kodak Ektar 100,Astia,OFF,OFF,Auto,3,-2,AUTO,1,3,4,1,-3,0
RR Redscale,Astia,STRONG,STRONG/OFF,10000K,9,0,200,1,2,-2,-2,-4,0
VM Astia,Astia,WEAK,OFF,Auto,0,-1,100,-1,-1,-1,0,-4,0
VM Astia Fujipro Color Cast,Astia,OFF,OFF,Auto,-2,-3,400,-1,-1,-2,-2,4,P0P67
VM P160,Astia,WEAK,OFF,Auto,6,-3,200,-2,-1,-3,-2,-4,P0P33
DC Classic Chrome I,Classic,OFF,OFF,Auto,0,0,200,-1,0,2,2,-2,0
DC Classic Chrome II,Classic,OFF,OFF,Auto,0,0,100,0,0,3,0,-3,0
EM Cross Process,Classic,WEAK,OFF,Auto,-3,-8,200,1,2,-1,1,-3,0
ER Bleach Bypass,Classic,OFF,OFF,Auto,0,0,AUTO,1,4,-4,0,-2,0
GB Chrome,Classic,OFF,OFF,Auto,0,0,100,-1,2,-1,1,0,0
GB Chrome Colour,Classic,OFF,STRONG/OFF,Auto,0,0,100,-2,2,0,2,0,0
GB Classy Chrome,Classic,WEAK,WEAK/STRONG,Daylight,0,0,400,-1,-1,0,0,-4,0
HF Muted Color,Classic,OFF,OFF,Auto,0,0,AUTO,2,0,-2,0,0,0
JC Chrome Urban,Classic,OFF,OFF,Auto,1,0,AUTO,0,2,3,3,-3,0
